"GeneID","logFC","logCPM","F","PValue","FDR","Expression"
"AT1G55050",-3.71703336552539,1.39978999697802,13.6222611548036,0.00256557739433935,0.361782471127138,"Not Significant"
"AT2G42540",2.07635153353784,9.20921938752012,10.8685207607387,0.00258622832045317,0.361782471127138,"Not Significant"
"AT5G61070",-3.71212208041532,1.90980251112056,9.07616687532255,0.002589997881918,0.361782471127138,"Not Significant"
"AT5G52050",3.93453764766008,4.17042577200235,9.06272787487711,0.00260910177434643,0.362690355346949,"Not Significant"
"AT4G34881",-2.04483327293924,4.94052038371772,9.04763006121114,0.00263073440425576,0.363939338857978,"Not Significant"
"AT2G05440",1.21023062602337,10.334498388546,8.98981054599808,0.00271663140346202,0.374024251840286,"Not Significant"
"AT4G23010",1.85269177802502,5.89536139992979,8.94326648647832,0.0027853352355297,0.379065480623109,"Not Significant"
"AT1G32900",1.844759703697,5.8803507672396,8.94257821499015,0.00278638486887511,0.379065480623109,"Not Significant"
"AT3G48460",2.8067178171804,4.75967644106074,8.93839868634738,0.00279276739850909,0.379065480623109,"Not Significant"
"AT1G68790",3.89577433375998,4.1658653704727,8.92431404582592,0.00281438548068972,0.380206301440595,"Not Significant"
"AT3G03330",7.6816261275543,3.61853168890168,8.88517926243136,0.00287534869124274,0.386626909301447,"Not Significant"
"AT2G43590",1.74418143815712,6.06304734220291,8.86992114578156,0.00289947928403801,0.388058215805553,"Not Significant"
"AT3G12290",1.56451045733034,6.65901643344233,8.82812556815449,0.00296663750669347,0.395208306736595,"Not Significant"
"AT3G57540",7.64173568699504,3.62871516925752,8.7952154877962,0.00302062874103561,0.400352054611955,"Not Significant"
"AT5G13020",3.85883621354891,4.16255140090256,8.78771339710802,0.00303307551365443,0.400352054611955,"Not Significant"
"AT3G25140",1.68731192250161,6.2678177476703,8.75832945107348,0.00308233046300008,0.402707167059475,"Not Significant"
"AT5G24490",-1.41530640383419,7.11617886251562,8.75479215641434,0.00308831441566504,0.402707167059475,"Not Significant"
